song,singer,tempo,energy,loudness,danceability,valence,acousticness,happy,angry,sad,relax,mood
Mine,Taylor Swift,121.079,0.774,-2.809,0.621,0.688,0.00422,0,52,38,10,1
You Are In Love,Taylor Swift,84.994,0.462,-8.958,0.575,0.324,0.707,27.5,15,20,37.5,3
Clean,Taylor Swift,103.973,0.375,-7.762,0.812,0.232,0.247,12.5,19.5,33,35,3
New Romantics,Taylor Swift,121.952,0.885,-5.81,0.637,0.611,0.00525,5,27,58,10,2
I Wish You Would,Taylor Swift,117.989,0.901,-5.962,0.645,0.507,0.0163,5,17,58,20,2
Sparks Fly,Taylor Swift,114.975,0.786,-3.04,0.601,0.408,0.0451,0,52,38,10,1
White Horse,Taylor Swift,92.598,0.357,-8.082,0.58,0.212,0.324,6,19.5,48,26.5,2
Fearless,Taylor Swift,100.028,0.709,-4.373,0.596,0.474,0.04,10,49.5,38,2.5,1
This Love,Taylor Swift,143.928,0.442,-8.865,0.474,0.105,0.631,46.66666667,10,40,3.333333333,0
Fifteen,Taylor Swift,95.487,0.64,-4.448,0.55,0.197,0.0687,10,49.5,38,2.5,1
Dress,Taylor Swift,120.085,0.469,-8.792,0.719,0.0851,0.0329,27.5,17,8,47.5,3
Bad Liar,Imagine Dragons,177.913,0.637,-6.993,0.383,0.0827,0.0722,10,0,30,60,3
Natural,Imagine Dragons,100,0.611,-6.112,0.704,0.22,0.217,0,39.5,38,22.5,1
Demons,Imagine Dragons,89.89,0.709,-2.928,0.497,0.384,0.192,10,30,20,40,3
Whatever It Takes,Imagine Dragons,134.945,0.655,-5.021,0.672,0.556,0.0362,0,59.5,38,2.5,1
Believer,Imagine Dragons,124.949,0.78,-4.374,0.776,0.666,0.0622,20,32,43,5,2
Machine,Imagine Dragons,81.045,0.679,-5.278,0.638,0.596,0.0016,10,49.5,38,2.5,1
Radioactive,Imagine Dragons,136.382,0.793,-3.699,0.457,0.195,0.114,0,30,30,40,3
Thunder,Imagine Dragons,167.997,0.822,-4.833,0.605,0.288,0.00671,0,42,48,10,2
Not Today,Imagine Dragons,123.495,0.386,-7.261,0.463,0.053,0.565,21.66666667,10,40,28.33333333,2
Warriors,Imagine Dragons,78.086,0.851,-6.238,0.365,0.309,0.0964,0,10,40,50,3
Next To Me,Imagine Dragons,169.497,0.672,-4.497,0.301,0.384,0.28,43.33333333,10,36.66666667,10,0
Boomerang,Imagine Dragons,100.073,0.559,-7.493,0.429,0.347,0.139,10,5,45,40,2
Monster,Imagine Dragons,179.957,0.768,-5.431,0.483,0.405,0.209,0,20,40,40,2
On Top Of The World,Imagine Dragons,99.881,0.924,-5.587,0.588,0.771,0.078,5,37,48,10,2
West Coast,Imagine Dragons,104.989,0.715,-6.18,0.672,0.677,0.581,20,27.5,30,22.5,2
Bleeding Out,Imagine Dragons,169.962,0.762,-4.072,0.289,0.337,0.0159,10,20,40,30,2
Birds,Imagine Dragons,119.997,0.517,-7.428,0.649,0.35,0.0146,11.66666667,39.5,16.33333333,32.5,1
Battle Cry,Imagine Dragons,130.055,0.901,-6.84,0.232,0.0392,0.0415,10,10,30,50,3
I Bet My Life,Imagine Dragons,108.04,0.659,-8.18,0.545,0.599,0.367,10,39.5,28,22.5,1
Bullet In A Gun,Imagine Dragons,130.029,0.735,-5.49,0.816,0.476,0.16,10,42,33,15,1
Digital,Imagine Dragons,166.779,0.889,-5.179,0.49,0.383,0.00155,5,25,30,40,3
Roots,Imagine Dragons,157.861,0.889,-5.411,0.63,0.639,0.691,63.33333333,5,31.66666667,0,0
Cool Out,Imagine Dragons,143.929,0.718,-4.833,0.636,0.437,0.00483,10,49.5,38,2.5,1
Only,Imagine Dragons,104.997,0.803,-5.029,0.691,0.424,0.015,0,42,48,10,2
Walking The Wire,Imagine Dragons,100.008,0.761,-5.339,0.54,0.147,0.0163,0,42,38,20,1
Shots,Imagine Dragons,120.012,0.784,-7.128,0.735,0.582,0.449,35,12,33,20,0
