i,j,survey_track,rec_track,rating,similarity,rankvalue
17,3,00RYw42tKwXecTaVay3BKl,28NY58LMKsnZHwYFTgCkN0,2,0.8248461165116527,1.6496922330233055
17,4,00RYw42tKwXecTaVay3BKl,4fP4xTSBli3tKck172LEZ4,2,0.8247401679519291,1.6494803359038581
17,5,00RYw42tKwXecTaVay3BKl,7MS8xxRhoedXm5z8jTALjD,2,0.823989393582021,1.647978787164042
17,6,00RYw42tKwXecTaVay3BKl,3GSPe2BAj7wkxh0goHykSP,2,0.8224108597480471,1.6448217194960941
17,7,00RYw42tKwXecTaVay3BKl,2lupLXIjueA5t4Pq4XUNcG,2,0.8211003648576971,1.6422007297153942
17,8,00RYw42tKwXecTaVay3BKl,1tWvhDzU8FSJSoc3zWniwM,2,0.8193478497505363,1.6386956995010726
17,9,00RYw42tKwXecTaVay3BKl,2NCbJEcrTdGhCiWSTA2Ui4,2,0.8180768283011646,1.6361536566023291
17,10,00RYw42tKwXecTaVay3BKl,7nMBhRR09ugqN4SkH8L6pg,2,0.8142566438320245,1.628513287664049
17,11,00RYw42tKwXecTaVay3BKl,67zXWqZE8wX35AT73bz0hc,2,0.813356889228688,1.626713778457376
17,12,00RYw42tKwXecTaVay3BKl,4j8wxVNmiKP7bZuWEckFxr,2,0.8127582752969746,1.6255165505939493
17,13,00RYw42tKwXecTaVay3BKl,5zaDOajG0eKIKSqUZsQvJS,2,0.8127433017282086,1.6254866034564173
17,14,00RYw42tKwXecTaVay3BKl,3Ea0Ik6lSoiGEfPNhcY1bX,2,0.8111194420089178,1.6222388840178357
17,15,00RYw42tKwXecTaVay3BKl,0Zsb46Y4ZLf8mbykDQrGxF,2,0.8109552245150224,1.6219104490300449
17,16,00RYw42tKwXecTaVay3BKl,5sDFQ0K3DJI4lpjIXMpAbW,2,0.8098193729323078,1.6196387458646155
17,17,00RYw42tKwXecTaVay3BKl,6T74sWvcHvSAO5prlk5dDw,2,0.8085981826671997,1.6171963653343995
17,18,00RYw42tKwXecTaVay3BKl,1khfmZTlbEsCi0VXylEJSQ,2,0.8079239102503464,1.6158478205006928
17,19,00RYw42tKwXecTaVay3BKl,7EUcOIbJSePmXGvAe7G79C,2,0.8075951667438075,1.615190333487615
17,20,00RYw42tKwXecTaVay3BKl,3QUtbFgjjnAHTtLup31xVa,2,0.8075093139924815,1.615018627984963
18,1,00SbVevsdFCgVm4IrSbuVJ,6Jf7Sx68vsWFKeWjOxcLhQ,1,0.8081922362058953,0.8081922362058953
18,2,00SbVevsdFCgVm4IrSbuVJ,5U6WGP7J9SNH8OHBlg95A8,1,0.8013599521542868,0.8013599521542868
18,3,00SbVevsdFCgVm4IrSbuVJ,2SeSSX9VmBZ00pMZp128BJ,1,0.8001505814819134,0.8001505814819134
18,4,00SbVevsdFCgVm4IrSbuVJ,50NZKlQPUvBKSglzn2fXaE,1,0.7984515748123842,0.7984515748123842
18,5,00SbVevsdFCgVm4IrSbuVJ,0nAemzMD5xRPeom0jWQONH,1,0.7969469684907858,0.7969469684907858
18,6,00SbVevsdFCgVm4IrSbuVJ,21pk3IBK6R9FDKgI55Pijp,1,0.7965421058544657,0.7965421058544657
18,7,00SbVevsdFCgVm4IrSbuVJ,009ImBOrIUlWgla8U05RAC,1,0.7936258616287414,0.7936258616287414
18,8,00SbVevsdFCgVm4IrSbuVJ,4anDsZBavxjw3Ktw6ICGYd,1,0.7920994061008648,0.7920994061008648
18,9,00SbVevsdFCgVm4IrSbuVJ,4fQjex0ezXcMGpdjlGVi44,1,0.7918645369354786,0.7918645369354786
18,10,00SbVevsdFCgVm4IrSbuVJ,7gbpozqwdFoqvv19BTk2hu,1,0.7917517004816951,0.7917517004816951
18,11,00SbVevsdFCgVm4IrSbuVJ,55qBw1900pZKfXJ6Q9A2Lc,1,0.791717863064757,0.791717863064757
18,12,00SbVevsdFCgVm4IrSbuVJ,2ZroUx8b9r7pCZOdmbiwPj,1,0.7915118772668214,0.7915118772668214
18,13,00SbVevsdFCgVm4IrSbuVJ,4oa14QBfWRDfJy2agySy0L,1,0.7905463120525458,0.7905463120525458
18,14,00SbVevsdFCgVm4IrSbuVJ,2pobfLH9dJs6mVTQlLEkx1,1,0.7900532830501887,0.7900532830501887
18,15,00SbVevsdFCgVm4IrSbuVJ,6c6W25YoDGjTq3qSPOga5t,1,0.7898160528588567,0.7898160528588567
18,16,00SbVevsdFCgVm4IrSbuVJ,5C0fJaH1RTClvyicgCFTA4,1,0.7889636020351237,0.7889636020351237
18,17,00SbVevsdFCgVm4IrSbuVJ,18P9FFTRXFzHdAzAphl7sy,1,0.7872676249894635,0.7872676249894635
18,18,00SbVevsdFCgVm4IrSbuVJ,5Nm9ERjJZ5oyfXZTECKmRt,1,0.786747813985882,0.786747813985882
18,19,00SbVevsdFCgVm4IrSbuVJ,6oO10y1h2VyxJQfomG4CtH,1,0.7863361288098,0.7863361288098
18,20,00SbVevsdFCgVm4IrSbuVJ,5ddXMXmXZ2FN4iliTG20nO,1,0.7860155141925149,0.7860155141925149
19,1,00Tv62iZ42zDjrWYu8Rxjp,1UGD3lW3tDmgZfAVDh6w7r,5,0.8038999659797874,4.019499829898937
19,2,00Tv62iZ42zDjrWYu8Rxjp,11zTrrksNgW8Q2fYmsKQVi,5,0.803783569444305,4.018917847221525
19,3,00Tv62iZ42zDjrWYu8Rxjp,7aHK5phEahf0v5K0hfXvVe,5,0.8023031142353929,4.011515571176965
19,4,00Tv62iZ42zDjrWYu8Rxjp,7HvtrRyRYqSOhllmbIW1Kh,5,0.7986384358416629,3.9931921792083145
19,5,00Tv62iZ42zDjrWYu8Rxjp,2nAUcVNxXpOTohdYdONend,5,0.7976232644216202,3.9881163221081013
19,6,00Tv62iZ42zDjrWYu8Rxjp,4HEtWYYzROeE4KmZJald5V,5,0.7975651916359753,3.9878259581798763
