i,j,survey_track,rec_track,rankvalue_a,rankvalue_l,rankvalue
5,9,2W2eaLVKv9NObcLXlYRZZo,4olNBNSYB0jknut4nO3GvY,0.6328230757909075,0.8210791680504107,0.726951121920659
5,10,2W2eaLVKv9NObcLXlYRZZo,6G7URf5rGe6MvNoiTtNEP7,0.6279697780946796,0.8209389070450659,0.7244543425698727
5,11,2W2eaLVKv9NObcLXlYRZZo,2Du2E8WxSbBNEU0jd9sCCO,0.6267672592030835,0.820800395223655,0.7237838272133692
5,12,2W2eaLVKv9NObcLXlYRZZo,4zVqWUET8JgoDHwmWrYP45,0.6229766246143325,0.8207205851894639,0.7218486049018982
5,13,2W2eaLVKv9NObcLXlYRZZo,5talhpNE8YKyjR2NyBnDqM,0.6226619301327485,0.8201532752300837,0.7214076026814161
5,14,2W2eaLVKv9NObcLXlYRZZo,6WEsbAAKeg9LjqmYkdFXtc,0.6197656214927159,0.8195862455384837,0.7196759335155998
5,15,2W2eaLVKv9NObcLXlYRZZo,7pDHM9huHHpRc9CrxZElsW,0.6180372815975311,0.8191939999031631,0.7186156407503471
5,16,2W2eaLVKv9NObcLXlYRZZo,2QXBh408EhthzKXKO8Lbqk,0.6165232570965088,0.8184349235587141,0.7174790903276114
5,17,2W2eaLVKv9NObcLXlYRZZo,0cGM5N57Jm8RxnWqrf8VWE,0.6154767525440499,0.8175887552756821,0.716532753909866
5,18,2W2eaLVKv9NObcLXlYRZZo,5noQJkpVfHt2D4df2GXieV,0.6137842352560011,0.8166169360745403,0.7152005856652708
5,19,2W2eaLVKv9NObcLXlYRZZo,7ubIeT81utrNEkEy9Iaeqo,0.6097159467783413,0.8160717815345093,0.7128938641564253
5,20,2W2eaLVKv9NObcLXlYRZZo,5uARhdcnGgFIC2uijiEhXn,0.6090152863004452,0.8160676951631252,0.7125414907317852
6,1,3S0OXQeoh0w6AY8WQVckRW,1EzrEOXmMH3G43AXT1y7pA,4.999985206516211,3.9902128905961294,4.49509904855617
6,2,3S0OXQeoh0w6AY8WQVckRW,732iQF09gPlc32IlBGoXvv,3.529673626437916,3.9417113116010407,3.7356924690194786
6,3,3S0OXQeoh0w6AY8WQVckRW,5KsLlcmWDoHUoJFzRw14wD,3.5281277335878745,3.9356169483687413,3.731872340978308
6,4,3S0OXQeoh0w6AY8WQVckRW,5Y4KPoGudwsnrNWtWXrcSi,3.5151464221887347,3.9303829771689496,3.722764699678842
6,5,3S0OXQeoh0w6AY8WQVckRW,1nBpOzhk48RP7WNT2OOw9W,3.45392765099015,3.925016502582212,3.6894720767861813
6,6,3S0OXQeoh0w6AY8WQVckRW,60wtmXbcX9SBhdOe0koasN,3.402013783357116,3.9224833470109437,3.6622485651840297
6,7,3S0OXQeoh0w6AY8WQVckRW,4CszVFNslX9JLvjVPTeqaW,3.3902694685433437,3.9186632730229305,3.654466370783137
6,8,3S0OXQeoh0w6AY8WQVckRW,24Yy3FTpcOkcAbpzRKIFjw,3.372652899336513,3.9099770210720406,3.6413149602042765
6,9,3S0OXQeoh0w6AY8WQVckRW,6i7ZCerJICjhpbisBz1Lw4,3.1570884745914096,3.9091788477413965,3.533133661166403
6,10,3S0OXQeoh0w6AY8WQVckRW,37AgQTDcQzUYPGVmwvAjdC,3.1392739408803187,3.902367421652433,3.520820681266376
6,11,3S0OXQeoh0w6AY8WQVckRW,6b6liLOZhXdOfFBFVN5KNK,3.138923351912275,3.9012051748415555,3.5200642633769155
6,12,3S0OXQeoh0w6AY8WQVckRW,2PrZtwwm4jY8mtGLoEmvGY,3.118622924771992,3.8988140594766962,3.508718492124344
6,13,3S0OXQeoh0w6AY8WQVckRW,5jyyPsIGM2yqkZN9R3TmvN,3.1052047338797384,3.8944281027803385,3.499816418330038
