ghostin,Ariana Grande,103.777,0.364,-8.295,0.287,0.11,0.418,8.333333333333332,0.0,71.66666666666667,20.0,2
God is a woman,Ariana Grande,145.031,0.658,-5.934,0.602,0.268,0.0233,0.0,29.500000000000004,48.0,22.5,2
goodnight n go,Ariana Grande,110.963,0.454,-7.07,0.708,0.24,0.0217,2.5,29.500000000000004,27.999999999999996,40.0,3
Greedy,Ariana Grande,109.974,0.705,-5.335,0.62,0.844,0.0323,10.0,49.5,38.0,2.5,1
Hands On Me,Ariana Grande,97.959,0.766,-5.694,0.662,0.376,0.214,0.0,32.0,48.0,20.0,2
imagine,Ariana Grande,62.52,0.475,-4.985,0.729,0.371,0.378,12.5,2.0,53.0,32.5,2
in my head,Ariana Grande,134.979,0.6,-6.402,0.662,0.331,0.173,5.0,29.500000000000004,32.99999999999999,32.5,2
Into You,Ariana Grande,107.853,0.734,-5.95,0.623,0.372,0.0162,10.0,29.500000000000004,48.0,12.5,2
Just A Little Bit Of Your Heart,Ariana Grande,77.963,0.322,-5.959,0.439,0.16,0.692,18.333333333333332,20.0,31.666666666666664,30.0,2
Last Christmas,Ariana Grande,102.986,0.793,-2.775,0.677,0.802,0.127,0.0,52.0,38.0,10.0,1
Leave Me Lonely,Ariana Grande,90.927,0.449,-7.472,0.445,0.374,0.596,41.666666666666664,0.0,50.0,8.333333333333332,2
Let Me Love You,Ariana Grande,102.704,0.435,-8.363,0.528,0.0781,0.0295,15.0,27.500000000000004,35.0,22.5,2
Love Me Harder,Ariana Grande,98.992,0.714,-4.389,0.472,0.24,0.00937,10.0,20.0,30.0,40.0,3
make up,Ariana Grande,105.137,0.714,-5.373,0.671,0.477,0.0844,0.0,59.5,38.0,2.5,1
Moonlight,Ariana Grande,102.169,0.412,-7.339,0.626,0.209,0.417,0.0,25.5,62.0,12.5,2
My Everything,Ariana Grande,145.08,0.586,-6.241,0.622,0.434,0.0735,5.0,29.500000000000004,32.99999999999999,32.5,2
