id,title,a_name,tempo,energy,danceability,loudness,valence,acousticness
116,Stray,Grace VanderWaal,96.933,0.542,-7.204,0.627,0.217,0.648
117,Strip Me,Natasha Bedingfield,159.902,0.783,-5.41,0.566,0.53,0.241
118,Suddenly I See,KT Tunstall,100.38,0.767,-5.713,0.587,0.664,0.225
119,Sugar,Maroon 5,120.076,0.788,-7.055,0.748,0.884,0.0591
120,Sugar for the Queen,Bells Atlas,170.678,0.688,-8.407,0.388,0.806,0.196
121,Summer Madness,Kool & The Gang,175.85,0.332,-16.471,0.303,0.41,0.00859
122,Swerve,ILoveMakonnen,114.047,0.676,-4.502,0.812,0.38,0.0454
123,Symphony,Clean Bandit,122.863,0.629,-4.581,0.707,0.457,0.259
124,Talk About,Les Sins,124.998,0.83,-5.766,0.814,0.285,0.0152
125,"""Thats What I Like""",Bruno Mars,134.066,0.56,-4.961,0.853,0.86,0.013
126,The Chase,Future Islands,132.475,0.84,-6.227,0.7,0.758,0.0638
127,The Diary Of Jane,Breaking Benjamin,167.032,0.961,-4.421,0.374,0.357,5.53E-05
128,The Hills,The Weeknd,112.986,0.565,-7.065,0.58,0.138,0.0671
129,The Payback,James Brown,92.074,0.917,-4.753,0.563,0.573,0.128
130,The Righteous One,The Orwells,128.604,0.884,-4.602,0.389,0.422,0.00412
131,The River,Son Little,109.029,0.753,-6.039,0.694,0.532,0.0441
132,The Rose,Westlife,109.581,0.203,-9.706,0.272,0.172,0.784
133,The Show,Lenka,123.028,0.59,-4.144,0.753,0.593,0.259
134,There You Are,ZAYN,76.986,0.685,-4.828,0.452,0.305,0.0257
135,"""Theres Nothing Holdin Me Back""",Shawn Mendes,121.998,0.813,-4.063,0.866,0.969,0.38
136,Thunder,Imagine Dragons,167.997,0.822,-4.833,0.605,0.288,0.00671
137,Tightrope,Michelle Williams,161.564,0.331,-10.316,0.351,0.191,0.3
138,Tiny Dancer,Elton John,145.075,0.428,-11.097,0.414,0.282,0.382
139,Tired,Alan Walker,123.994,0.876,-4.159,0.69,0.493,0.0428
140,To The Top,Twin Shadow,82.925,0.725,-6.156,0.429,0.159,0.00502
141,Trust My Lonely,Alessia Cara,150.305,0.662,-6.025,0.583,0.636,0.00541
142,Tuesday,ILoveMakonnen,140.163,0.664,-5.604,0.77,0.472,0.215
143,Uncle ACE,Blood Orange,112.977,0.945,-6.445,0.742,0.742,0.0639
144,Undecided,Chris Brown,96.37,0.527,-5.318,0.441,0.589,0.172
145,Unforgettable,French Montana,97.985,0.769,-5.043,0.726,0.733,0.0293
146,Upper Echelon,Travis Scott,122.065,0.617,-4.516,0.788,0.128,0.0448
147,Versace Python,Riff Raff,139.94,0.792,-5.33,0.624,0.325,0.00156
148,Voices,Against The Current,105.02,0.851,-4.782,0.715,0.789,0.0036
149,Wait for the Man,FIDLAR,190.559,0.939,-4.756,0.133,0.219,8.20E-06
150,Watching You,Melissa Etheridge,130.611,0.283,-15.173,0.343,0.166,0.645
151,We All Need Saving,The Eight Tracks,138.993,0.38,-8.854,0.25,0.157,0.502
152,We Sleep In The Ocean,The Cloud Room,123.765,0.655,-7.685,0.629,0.176,0.511
153,Weight,Mikal Cronin,153.027,0.784,-5.004,0.246,0.176,0.0107
154,What About Now,Westlife,162.109,0.772,-4.284,0.338,0.334,0.0134
155,"""What Ive Done""",Linkin Park,120.119,0.93,-5.285,0.623,0.287,0.0141
156,When I Fall In Love,Celine Dion,68.353,0.241,-13.251,0.19,0.107,0.577
157,When The Night Falls,Chromeo,121.912,0.92,-4.05,0.713,0.912,0.0471
158,When They Fight   They Fight,Generationals,119.756,0.898,-2.051,0.755,0.966,0.242
159,White Girl,Shy Glizzy,129.948,0.793,-5.332,0.698,0.454,0.123
160,Will You Love Me Tomorrow,The Shirelles,137.047,0.384,-11.315,0.49,0.47,0.438
161,With You,Mariah Carey,74.677,0.391,-7.594,0.593,0.141,0.253
162,Wolves,Selena Gomez,124.946,0.807,-4.59,0.72,0.305,0.129
163,"""Words I Dont Remember""",How To Dress Well,80.004,0.213,-13.437,0.533,0.207,0.849
164,World In Motion,New Order,123.922,0.955,-4.111,0.603,0.787,0.0239
165,"""You Dont Know Me""",Jax Jones,123.999,0.658,-6.055,0.877,0.693,0.163
166,Youngblood,5 Seconds of Summer,120.274,0.854,-5.114,0.596,0.152,0.0169
167,Your Song,Rita Ora,117.984,0.621,-4.105,0.869,0.962,0.159
168,"""Youre Not Good Enough""",Blood Orange,119.964,0.798,-6.55,0.74,0.571,0.189
169,"""Youre the Best""",Wet,100.114,0.331,-11.184,0.435,0.19,0.138
170,Flying Without Wings,Westlife,72.742,0.493,-7.956,0.443,0.283,0.323
171,Worth It,YK Osiris,123.936,0.528,-4.082,0.764,0.422,0.468
172,This Love,Maroon 5,95.034,0.859,-4.634,0.714,0.755,0.0556
173,Animals,Maroon 5,189.868,0.742,-6.46,0.279,0.328,0.000185
174,Maps,Maroon 5,120.032,0.713,-5.522,0.742,0.879,0.0205
175,It Was Always You,Maroon 5,103.951,0.765,-6.582,0.613,0.299,0.082
176,Closure,Maroon 5,116.962,0.813,-6.687,0.748,0.445,0.183
177,One More Night,Maroon 5,92.997,0.821,-3.435,0.716,0.618,0.0558
